"label","n","events","event_rate","c_index","c_lo","c_hi","oe","cal_intercept","cal_slope","brier","ipa"
"CHARLS_only->CLHLS_raw",7095,3282,0.462579281183932,0.8334,0.8246,0.8417,1.2762,0.6225,0.9902,0.17862,0.2815
"CHARLS_only->CLHLS_L1",7095,3282,0.462579281183932,0.8334,0.8237,0.842,1,0,0.9902,0.16537,0.3348
"CHARLS_only->KLoSA_raw",5288,510,0.0964447806354009,0.8023,0.7825,0.822,0.9713,-0.0369,1.1786,0.07312,0.161
"CHARLS_only->KLoSA_L1",5288,510,0.0964447806354009,0.8023,0.7822,0.8206,1,0,1.1786,0.07317,0.1603
"RoundA_raw",7551,771,0.102105681366706,0.7588,0.74,0.778,0.6692,-0.5567,0.8512,0.08621,0.0597
"RoundA_L1",7551,771,0.102105681366706,0.7588,0.7435,0.7762,1,0,0.8512,0.08126,0.1136
"RoundB_raw",7095,3282,0.462579281183932,0.8346,0.8268,0.8448,1.2664,0.6287,0.9355,0.17752,0.2859
"RoundB_L1",7095,3282,0.462579281183932,0.8346,0.8249,0.8443,1,0,0.9355,0.16488,0.3368
"RoundC_raw",5288,510,0.0964447806354009,0.8011,0.7824,0.8218,0.7579,-0.3677,1.0755,0.07423,0.1482
"RoundC_L1",5288,510,0.0964447806354009,0.8011,0.78,0.8232,1,0,1.0755,0.07313,0.1608
