"label","n","events","event_rate","c_index","c_lo","c_hi","oe","cal_intercept","cal_slope","brier","ipa"
"HRS_L0",10707,2138,0.199682450733165,0.7901,0.7807,0.7992,0.8205,-0.3269,0.9671,0.12901,0.1927
"HRS_L1",10707,2138,0.199682450733165,0.7901,0.7791,0.8014,1,0,0.9671,0.12644,0.2088
"HRS_L2",10707,2138,0.199682450733165,0.7901,0.7782,0.8011,1,0,1,0.12642,0.2089
"HRS_L3",10707,2138,0.199682450733165,0.7929,0.7818,0.8038,1,0,1,0.12607,0.2111
"SHARE_L0",36352,3165,0.087065360915493,0.778,0.7699,0.7873,0.599,-0.713,0.8381,0.07729,0.0276
"SHARE_L1",36352,3165,0.087065360915493,0.778,0.7698,0.7862,1,0,0.8381,0.07044,0.1138
"SHARE_L2",36352,3165,0.087065360915493,0.778,0.7691,0.7861,1,0,1,0.07003,0.119
"SHARE_L3",36352,3165,0.087065360915493,0.7797,0.7721,0.7878,1,0,1,0.07,0.1194
"MHAS_L0",9081,924,0.101750908490254,0.7243,0.704,0.7432,0.6769,-0.5462,0.6859,0.0916,-0.0022
"MHAS_L1",9081,924,0.101750908490254,0.7243,0.7087,0.7425,1,0,0.6859,0.0856,0.0634
"MHAS_L2",9081,924,0.101750908490254,0.7243,0.7082,0.7404,1,0,1,0.08394,0.0816
"MHAS_L3",9081,924,0.101750908490254,0.7245,0.7055,0.7431,1,0,1,0.08393,0.0817
