"country","n","events","event_rate","c_index"
"AT",3444,251,0.0728803716608595,0.7556
"Bf",1512,140,0.0925925925925926,0.7819
"Bn",1689,131,0.0775606867969213,0.7678
"Cf",589,31,0.0526315789473684,0.8564
"Cg",1701,107,0.0629041740152851,0.832
"Ci",91,7,0.0769230769230769,0.7551
"CZ",3725,415,0.111409395973154,0.7682
"DE",1221,47,0.0384930384930385,0.7151
"DK",1373,153,0.11143481427531,0.8265
"EE",3550,427,0.120281690140845,0.7454
"ES",2614,390,0.149196633511859,0.7966
"F1",1959,104,0.0530883103624298,0.7536
"FR",1716,100,0.0582750582750583,0.7766
"HU",1944,172,0.088477366255144,0.7517
"IT",2587,238,0.091998453807499,0.8025
"NL",1940,69,0.0355670103092783,0.6911
"PT",1279,99,0.0774042220484754,0.7482
"SE",1695,138,0.0814159292035398,0.8242
"SI",1719,146,0.0849331006399069,0.7926
