"code","country","n","events","event_rate","c_index"
"Cf","Switzerland (Fr)",589,31,0.0526315789473684,0.8564
"Cg","Switzerland (Ge)",1701,107,0.0629041740152851,0.832
"DK","Denmark",1373,153,0.11143481427531,0.8265
"SE","Sweden",1695,138,0.0814159292035398,0.8242
"IT","Italy",2587,238,0.091998453807499,0.8025
"ES","Spain",2614,390,0.149196633511859,0.7966
"SI","Slovenia",1719,146,0.0849331006399069,0.7926
"Bf","Belgium (Fr)",1512,140,0.0925925925925926,0.7819
"FR","France",1716,100,0.0582750582750583,0.7766
"CZ","Czechia",3725,415,0.111409395973154,0.7682
"Bn","Belgium (Nl)",1689,131,0.0775606867969213,0.7678
"AT","Austria",3444,251,0.0728803716608595,0.7556
"Ci","Ci",91,7,0.0769230769230769,0.7551
"F1","F1",1959,104,0.0530883103624298,0.7536
"HU","Hungary",1944,172,0.088477366255144,0.7517
"PT","Portugal",1279,99,0.0774042220484754,0.7482
"EE","Estonia",3550,427,0.120281690140845,0.7454
"DE","Germany",1221,47,0.0384930384930385,0.7151
"NL","Netherlands",1940,69,0.0355670103092783,0.6911
