"source_file","variable","variable_label","storage_class"
"CLHLS/CLHLS_2018_cross_sectional_dataset_15874/clhls_2018_cross_sectional_dataset_15874.sav","id","id, province code +given no. + year of the wave of the very first interview","numeric"
"CLHLS/CLHLS_2018_cross_sectional_dataset_15874/clhls_2018_cross_sectional_dataset_15874.sav","yearin","year of the interview","numeric"
"CLHLS/CLHLS_2018_cross_sectional_dataset_15874/clhls_2018_cross_sectional_dataset_15874.sav","monthin","month of the interview","numeric"
"CLHLS/CLHLS_2018_cross_sectional_dataset_15874/clhls_2018_cross_sectional_dataset_15874.sav","dayin","day of the interview","numeric"
"CLHLS/CLHLS_2018_cross_sectional_dataset_15874/clhls_2018_cross_sectional_dataset_15874.sav","v_bthyr","validated birth year","numeric"
"CLHLS/CLHLS_2018_cross_sectional_dataset_15874/clhls_2018_cross_sectional_dataset_15874.sav","v_bthmon","validated birth month","numeric"
"CLHLS/CLHLS_2018_cross_sectional_dataset_15874/clhls_2018_cross_sectional_dataset_15874.sav","residenc","the current residential area of the interviewed elderly","haven_labelled"
"CLHLS/CLHLS_2018_cross_sectional_dataset_15874/clhls_2018_cross_sectional_dataset_15874.sav","yb32","how many years did the interviewed elderly live in his/her current place of resi","haven_labelled"
"CLHLS/CLHLS_2018_cross_sectional_dataset_15874/clhls_2018_cross_sectional_dataset_15874.sav","trueage","validated age","numeric"
"CLHLS/CLHLS_2018_cross_sectional_dataset_15874/clhls_2018_cross_sectional_dataset_15874.sav","a43","was the place of birth an urban area or a rural area at time of birth","haven_labelled"
"CLHLS/CLHLS_2018_cross_sectional_dataset_15874/clhls_2018_cross_sectional_dataset_15874.sav","a51","co-residence of interviewee","haven_labelled"
"CLHLS/CLHLS_2018_cross_sectional_dataset_15874/clhls_2018_cross_sectional_dataset_15874.sav","a53a1","relationship between you and 1st person you living with currently","haven_labelled"
"CLHLS/CLHLS_2018_cross_sectional_dataset_15874/clhls_2018_cross_sectional_dataset_15874.sav","a53a11","other relationship between you and 1st person you living with currently","character"
"CLHLS/CLHLS_2018_cross_sectional_dataset_15874/clhls_2018_cross_sectional_dataset_15874.sav","a53a2","sex of 1st person living with you currently","haven_labelled"
"CLHLS/CLHLS_2018_cross_sectional_dataset_15874/clhls_2018_cross_sectional_dataset_15874.sav","a53a3","age of 1st person living with you currently","haven_labelled"
"CLHLS/CLHLS_2018_cross_sectional_dataset_15874/clhls_2018_cross_sectional_dataset_15874.sav","a53a4","education level of 1st person living with you currently","haven_labelled"
"CLHLS/CLHLS_2018_cross_sectional_dataset_15874/clhls_2018_cross_sectional_dataset_15874.sav","a53a5","# of cigarettes 1st person usuallysmoke per day inside home","haven_labelled"
"CLHLS/CLHLS_2018_cross_sectional_dataset_15874/clhls_2018_cross_sectional_dataset_15874.sav","a53b1","relationship between you and 2nd person living with you currently","haven_labelled"
"CLHLS/CLHLS_2018_cross_sectional_dataset_15874/clhls_2018_cross_sectional_dataset_15874.sav","a53b11","other relationship between you and 2nd person living with you currently","character"
