"cohort","role","rel_path","format","key_schema_file","note","abs_path","exists","size_mb","modified","read_status","rows","columns","read_error"
"CHARLS","harmonization_script","Charls/bbxleyec.do","do",TRUE,"Gateway Harmonized CHARLS generator","D:/AI_project/sql/Charls/bbxleyec.do",TRUE,2.857,"2026-07-26 17:26:39.149151","not_attempted",,,
"CHARLS","harmonization_document","Charls/Harmonized_CHARLS_D.pdf","pdf",FALSE,"Harmonization definitions","D:/AI_project/sql/Charls/Harmonized_CHARLS_D.pdf",TRUE,2.609,"2024-10-19 01:35:16","not_attempted",,,
"KLoSA","harmonization_script","KLOSA/bukpmcwp.do","do",TRUE,"Gateway Harmonized KLoSA generator","D:/AI_project/sql/KLOSA/bukpmcwp.do",TRUE,4.276,"2026-07-26 17:18:13.881531","not_attempted",,,
"KLoSA","exit_wave9","KLOSA/KLoSA 9 wave Exit/Exit09_e.dta","dta",TRUE,"Wave 9 exit/mortality file","D:/AI_project/sql/KLOSA/KLoSA 9 wave Exit/Exit09_e.dta",TRUE,0.625,"2025-01-02 07:57:58","metadata_ok",0,345,
"CLHLS","codebook_directory","CLHLS/CLHLS_codebook 1998-2018","directory",FALSE,"Longitudinal codebooks","D:/AI_project/sql/CLHLS/CLHLS_codebook 1998-2018",TRUE,0.004,"2026-07-22 14:05:17.62421","not_attempted",,,
"CHARLS","raw_wave","Charls/2011/biomarkers.dta","dta",TRUE,"","D:/AI_project/sql/Charls/2011/biomarkers.dta",TRUE,11.857,"2013-03-12 09:38:58","metadata_ok",0,238,
"CHARLS","raw_wave","Charls/2011/Blood_20140429.dta","dta",TRUE,"","D:/AI_project/sql/Charls/2011/Blood_20140429.dta",TRUE,0.912,"2014-04-28 17:26:02","metadata_ok",0,19,
"CHARLS","raw_wave","Charls/2011/child.dta","dta",TRUE,"","D:/AI_project/sql/Charls/2011/child.dta",TRUE,2.981,"2017-09-28 14:14:58","metadata_ok",0,69,
"CHARLS","raw_wave","Charls/2011/community.dta","dta",TRUE,"","D:/AI_project/sql/Charls/2011/community.dta",TRUE,1.095,"2013-03-12 09:57:18","metadata_ok",0,719,
"CHARLS","raw_wave","Charls/2011/demographic_background.dta","dta",TRUE,"","D:/AI_project/sql/Charls/2011/demographic_background.dta",TRUE,3.628,"2013-03-12 09:58:00","metadata_ok",0,118,
"CHARLS","raw_wave","Charls/2011/exp_income_wealth.dta","dta",TRUE,"","D:/AI_project/sql/Charls/2011/exp_income_wealth.dta",TRUE,3.781,"2017-09-28 13:58:02","metadata_ok",0,51,
"CHARLS","raw_wave","Charls/2011/family_information.dta","dta",TRUE,"","D:/AI_project/sql/Charls/2011/family_information.dta",TRUE,17.705,"2013-03-12 09:58:28","metadata_ok",0,1210,
"CHARLS","raw_wave","Charls/2011/family_transfer.dta","dta",TRUE,"","D:/AI_project/sql/Charls/2011/family_transfer.dta",TRUE,13.696,"2013-03-12 09:58:54","metadata_ok",0,1010,
"CHARLS","raw_wave","Charls/2011/health_care_and_insurance.dta","dta",TRUE,"","D:/AI_project/sql/Charls/2011/health_care_and_insurance.dta",TRUE,14.488,"2013-03-12 09:59:18","metadata_ok",0,480,
"CHARLS","raw_wave","Charls/2011/health_status_and_functioning.dta","dta",TRUE,"","D:/AI_project/sql/Charls/2011/health_status_and_functioning.dta",TRUE,11.891,"2013-03-12 09:59:44","metadata_ok",0,591,
"CHARLS","raw_wave","Charls/2011/hhmember.dta","dta",TRUE,"","D:/AI_project/sql/Charls/2011/hhmember.dta",TRUE,1.56,"2017-09-28 14:14:58","metadata_ok",0,32,
"CHARLS","raw_wave","Charls/2011/household_income.dta","dta",TRUE,"","D:/AI_project/sql/Charls/2011/household_income.dta",TRUE,19.847,"2013-03-12 10:00:06","metadata_ok",0,1060,
"CHARLS","raw_wave","Charls/2011/household_roster.dta","dta",TRUE,"","D:/AI_project/sql/Charls/2011/household_roster.dta",TRUE,7.618,"2013-03-12 10:00:34","metadata_ok",0,530,
"CHARLS","raw_wave","Charls/2011/housing_characteristics.dta","dta",TRUE,"","D:/AI_project/sql/Charls/2011/housing_characteristics.dta",TRUE,0.522,"2013-03-12 10:01:02","metadata_ok",0,34,
"CHARLS","raw_wave","Charls/2011/individual_income.dta","dta",TRUE,"","D:/AI_project/sql/Charls/2011/individual_income.dta",TRUE,7.257,"2013-03-12 10:01:32","metadata_ok",0,170,
"CHARLS","raw_wave","Charls/2011/interviewer_observation.dta","dta",TRUE,"","D:/AI_project/sql/Charls/2011/interviewer_observation.dta",TRUE,0.687,"2013-03-12 10:01:56","metadata_ok",0,17,
"CHARLS","raw_wave","Charls/2011/parent.dta","dta",TRUE,"","D:/AI_project/sql/Charls/2011/parent.dta",TRUE,3.282,"2017-09-28 14:14:58","metadata_ok",0,47,
