"cohort","role","rel_path","variable","variable_label","type","nonmissing_n","nonmissing_pct","unique_n"
"CHARLS","exit","Charls/2013/Exit_Interview.dta","ID","Individual ID","character",431,100,431
"CHARLS","exit","Charls/2013/Exit_Interview.dta","householdID","Household ID","character",431,100,426
"CHARLS","exit","Charls/2013/Exit_Interview.dta","communityID","Community ID","character",431,100,260
"CHARLS","exit","Charls/2013/Exit_Interview.dta","exb003","R'S Death Place","haven_labelled",429,99.54,3
"CHARLS","exit","Charls/2013/Exit_Interview.dta","exb007","R Have the Death Certificate","haven_labelled",401,93.04,2
"CHARLS","exit","Charls/2013/Exit_Interview.dta","exb008","Where Did R'S Death Certificate Filed","haven_labelled",192,44.55,3
"CHARLS","exit","Charls/2013/Exit_Interview.dta","exb009","Death Was Expected","haven_labelled",422,97.91,3
"CHARLS","exit","Charls/2013/Exit_Interview.dta","exb010","How Long Was It between the Illness and the Death","haven_labelled",425,98.61,6
"CHARLS","exit","Charls/2013/Exit_Interview.dta","exc003","Number of Dead Children","numeric",154,35.73,4
"CHARLS","exit","Charls/2013/Exit_Interview.dta","exeg000_w2","Death in Hospital","haven_labelled",426,98.84,2
"CHARLS","exit","Charls/2013/Exit_Interview.dta","exeg003_w2","In Hospital One Month Before Death","haven_labelled",70,16.24,2
"CHARLS","exit","Charls/2013/Exit_Interview.dta","exeg004_w2","In Hospital One Year Before Death","haven_labelled",425,98.61,2
"CHARLS","exit","Charls/2013/Exit_Interview.dta","exf017","Life Insurance Pay Upon the Death (Yuan)","numeric",9,2.09,5
"CHARLS","exit","Charls/2013/Exit_Interview.dta","exg001","Own the House Before Death","haven_labelled",156,36.19,3
"CHARLS","exit","Charls/2013/Exit_Interview.dta","exg010_1_","Own the House Before Death","haven_labelled",10,2.32,3
"CHARLS","exit","Charls/2013/Exit_Interview.dta","exg010_2_","Own the House Before Death","haven_labelled",1,0.23,1
"CHARLS","exit","Charls/2013/Exit_Interview.dta","exg021","Have Will Before Death","haven_labelled",416,96.52,2
"CHARLS","exit","Charls/2020/Exit_Module.dta","ID","Individual ID","character",770,100,770
"CHARLS","exit","Charls/2020/Exit_Module.dta","householdID","Household ID","character",770,100,752
"CHARLS","exit","Charls/2020/Exit_Module.dta","communityID","Community ID","character",770,100,349
"CHARLS","exit","Charls/2020/Exit_Module.dta","versionID","Version ID","character",770,100,1
"CHARLS","exit","Charls/2020/Exit_Module.dta","exb001_1","Year of Death","numeric",107,13.9,8
"CHARLS","exit","Charls/2020/Exit_Module.dta","exb001_2","Month of Death","numeric",107,13.9,12
"CHARLS","exit","Charls/2020/Exit_Module.dta","exb001_3","Day of Death","numeric",107,13.9,25
"CHARLS","exit","Charls/2020/Exit_Module.dta","exb003","Residence, Before Death","haven_labelled",769,99.87,1
"CHARLS","exit","Charls/2020/Exit_Module.dta","exb004","Type of Residence, Before Death","haven_labelled",768,99.74,5
"CHARLS","exit","Charls/2020/Exit_Module.dta","exb005","Address of Death","haven_labelled",768,99.74,2
"CHARLS","exit","Charls/2020/Exit_Module.dta","exb006","Type of Address of Death","haven_labelled",768,99.74,7
"CHARLS","exit","Charls/2020/Exit_Module.dta","exb007","Was the Death Expected at About the Time It Occurred?","haven_labelled",768,99.74,3
"CHARLS","exit","Charls/2020/Exit_Module.dta","exb008","How Long Is the Time Between the Start of the Final Illness and Death?","haven_labelled",768,99.74,6
"CHARLS","exit","Charls/2020/Exit_Module.dta","exb011","Death Certificate","haven_labelled",767,99.61,2
"CHARLS","exit","Charls/2020/Exit_Module.dta","exb012","Where Did R's Death Certificate Filed","haven_labelled",486,63.12,3
"CHARLS","exit","Charls/2020/Exit_Module.dta","exda006_s1","Treatments for Cancer Two Years Before Death","haven_labelled",189,24.55,2
"CHARLS","exit","Charls/2020/Exit_Module.dta","exda006_s2","Treatments for Cancer Two Years Before Death","haven_labelled",189,24.55,2
"CHARLS","exit","Charls/2020/Exit_Module.dta","exda006_s3","Treatments for Cancer Two Years Before Death","haven_labelled",189,24.55,2
"CHARLS","exit","Charls/2020/Exit_Module.dta","exda006_s4","Treatments for Cancer Two Years Before Death","haven_labelled",189,24.55,2
"CHARLS","exit","Charls/2020/Exit_Module.dta","exda006_s5","Treatments for Cancer Two Years Before Death","haven_labelled",189,24.55,2
"CHARLS","exit","Charls/2020/Exit_Module.dta","exda006_s6","Treatments for Cancer Two Years Before Death","haven_labelled",189,24.55,2
"CHARLS","exit","Charls/2020/Exit_Module.dta","exda006_s7","Treatments for Cancer Two Years Before Death","haven_labelled",189,24.55,2
"CHARLS","exit","Charls/2020/Exit_Module.dta","exef001","Take Any Purchased Medicine in the Month before Death","haven_labelled",760,98.7,2
"CHARLS","exit","Charls/2020/Exit_Module.dta","exeg000","Dead in Hospital","numeric",760,98.7,2
"CHARLS","exit","Charls/2020/Exit_Module.dta","exeg001","How Long Been A Patient in that Hospital before Death","numeric",138,17.92,4
"CHARLS","exit","Charls/2020/Exit_Module.dta","exeg003","In Addition to that Hospital Stay, in the One Month before His/Her Death Had He/","numeric",138,17.92,2
"CHARLS","exit","Charls/2020/Exit_Module.dta","exeg004","In the One Year before His/Her Death Had He/She Been A Patient in A Hospital Ove","numeric",760,98.7,2
"CHARLS","exit","Charls/2020/Exit_Module.dta","exf011","How Much Did the Life Insurance Pay Upon the Death of R","numeric",18,2.34,11
"KLoSA","exit","KLOSA/w03_exit_e.dta","pid","Personal ID.","numeric",309,100,309
"KLoSA","exit","KLOSA/w03_exit_e.dta","hhid","Household ID.","numeric",309,100,302
"KLoSA","exit","KLOSA/w03_exit_e.dta","w03Xa006","Expectancy of the person's death","haven_labelled",309,100,3
"KLoSA","exit","KLOSA/w03_exit_e.dta","w03Xa007","The main cause of the person's death according to the death certificate","character",309,100,128
"KLoSA","exit","KLOSA/w03_exit_e.dta","w03Xa008","The type of his/her death","haven_labelled",309,100,3
"KLoSA","exit","KLOSA/w03_exit_e.dta","w03Xa009","The type of his/her violent death","haven_labelled",14,4.53,5
"KLoSA","exit","KLOSA/w03_exit_e.dta","w03Xa010y","The date of his/her death (unit: yyyy)","haven_labelled",309,100,5
"KLoSA","exit","KLOSA/w03_exit_e.dta","w03Xa010m","The date of his/her death (unit: mm)","haven_labelled",309,100,13
"KLoSA","exit","KLOSA/w03_exit_e.dta","w03Xa010d","The date of his/her death (unit: day)","haven_labelled",309,100,32
"KLoSA","exit","KLOSA/w03_exit_e.dta","w03Xa011","The place of the peron's death","haven_labelled",309,100,5
"KLoSA","exit","KLOSA/w03_exit_e.dta","w03Xc101m01","The chronic disease that the person suffered until 1 week before death_ Stroke/","haven_labelled",309,100,2
"KLoSA","exit","KLOSA/w03_exit_e.dta","w03Xc101m02","The chronic disease that the person suffered until 1 week before death_High bloo","haven_labelled",309,100,2
"KLoSA","exit","KLOSA/w03_exit_e.dta","w03Xc101m03","The chronic disease that the person suffered until 1 week before death_Diabetes/","haven_labelled",309,100,2
"KLoSA","exit","KLOSA/w03_exit_e.dta","w03Xc101m04","The chronic disease that the person suffered until 1 week before death_Cancer","haven_labelled",309,100,2
"KLoSA","exit","KLOSA/w03_exit_e.dta","w03Xc101m05","The chronic disease that the person suffered until 1 week before death_Lung dise","haven_labelled",309,100,2
"KLoSA","exit","KLOSA/w03_exit_e.dta","w03Xc101m06","The chronic disease that the person suffered until 1 week before death_Heart dis","haven_labelled",309,100,2
"KLoSA","exit","KLOSA/w03_exit_e.dta","w03Xc101m07","The chronic disease that the person suffered until 1 week before death_Liver dis","haven_labelled",309,100,2
"KLoSA","exit","KLOSA/w03_exit_e.dta","w03Xc101m08","The chronic disease that the person suffered until 1 week before death_ Dementia","haven_labelled",309,100,2
"KLoSA","exit","KLOSA/w03_exit_e.dta","w03Xc101m09","The chronic disease that the person suffered until 1 week before death_Psychiatr","haven_labelled",309,100,2
"KLoSA","exit","KLOSA/w03_exit_e.dta","w03Xc101m10","The chronic disease that the person suffered until 1 week before death_Fracture","haven_labelled",309,100,2
"KLoSA","exit","KLOSA/w03_exit_e.dta","w03Xc101m11","The chronic disease that the person suffered until 1 week before death_ Arthriti","haven_labelled",309,100,2
"KLoSA","exit","KLOSA/w03_exit_e.dta","w03Xc101m12","The chronic disease that the person suffered until 1 week before death_Others","haven_labelled",309,100,2
"KLoSA","exit","KLOSA/w03_exit_e.dta","w03Xc201","Whether or not had any memory problems as of one month before death","haven_labelled",309,100,2
"KLoSA","exit","KLOSA/w03_exit_e.dta","w03Xc205","Memory function during one month before death","haven_labelled",309,100,6
"KLoSA","exit","KLOSA/w03_exit_e.dta","w03Xc206","Problem behavior as of 2 years before death_(1) He/she has ever got lost in a fa","haven_labelled",309,100,2
"KLoSA","exit","KLOSA/w03_exit_e.dta","w03Xc207","Problem behavior as of 2 years before death_(2) He/she has ever wandered off the","haven_labelled",309,100,2
"KLoSA","exit","KLOSA/w03_exit_e.dta","w03Xc208","Problem behavior as of 2 years before death_(3) He/she could not be left alone a","haven_labelled",309,100,2
"KLoSA","exit","KLOSA/w03_exit_e.dta","w03Xc209","Problem behavior as of 2 years before death_(4) He/she has ever seen or heard th","haven_labelled",309,100,2
"KLoSA","exit","KLOSA/w03_exit_e.dta","w03Xc210","Cognitive function problem as of 2 years before death_(1) He/she was confused ab","haven_labelled",309,100,2
"KLoSA","exit","KLOSA/w03_exit_e.dta","w03Xc211","Cognitive function problem as of 2 years before death_(2) He/she was confused ab","haven_labelled",309,100,2
"KLoSA","exit","KLOSA/w03_exit_e.dta","w03Xc212","Cognitive function problem as of 2 years before death_(3) He/she was not good at","haven_labelled",309,100,2
"KLoSA","exit","KLOSA/w03_exit_e.dta","w03Xc213","Cognitive function problem as of 2 years before death_(4) He/she couldn¡¯t remem","haven_labelled",309,100,2
"KLoSA","exit","KLOSA/w03_exit_e.dta","w03Xc214","Cognitive function problem as of 2 years before death_(5) He/she couldn¡¯t recal","haven_labelled",309,100,2
"KLoSA","exit","KLOSA/w03_exit_e.dta","w03Xc215","Cognitive function problem as of 2 years before death_(6) He/she could not use f","haven_labelled",309,100,2
"KLoSA","exit","KLOSA/w03_exit_e.dta","w03Xc216","Cognitive function problem as of 2 years before death_(7) It was impossible for","haven_labelled",309,100,2
"KLoSA","exit","KLOSA/w03_exit_e.dta","w03Xc217","Cognitive function problem as of 2 years before death_(8) He/she couldn¡¯t follo","haven_labelled",309,100,2
"KLoSA","exit","KLOSA/w03_exit_e.dta","w03Xc306","Whether or not suffered from any pain during the one year before death","haven_labelled",309,100,2
"KLoSA","exit","KLOSA/w03_exit_e.dta","w03Xc310","Any change in the weight during the two years before death","haven_labelled",309,100,4
"KLoSA","exit","KLOSA/w03_exit_e.dta","w03Xc311","The condition during the one month before death_(1) difficulty in breathing","haven_labelled",309,100,2
"KLoSA","exit","KLOSA/w03_exit_e.dta","w03Xc312","The condition during the one month before death_(2) no appetite","haven_labelled",309,100,2
"KLoSA","exit","KLOSA/w03_exit_e.dta","w03Xc313","The condition during the one month before death_(3) frequent vomit","haven_labelled",309,100,2
"KLoSA","exit","KLOSA/w03_exit_e.dta","w03Xc314","The condition during the one month before death_(4) difficulty in controlling ar","haven_labelled",309,100,2
"KLoSA","exit","KLOSA/w03_exit_e.dta","w03Xc315","The condition during the one month before death_(5) depression","haven_labelled",309,100,2
"KLoSA","exit","KLOSA/w03_exit_e.dta","w03Xc316","The condition during the one month before death_(6) periodic confusion","haven_labelled",309,100,2
"KLoSA","exit","KLOSA/w03_exit_e.dta","w03Xc317","The condition during the one month before death_(7) severe fatigue or exhaustion","haven_labelled",309,100,2
"KLoSA","exit","KLOSA/w03_exit_e.dta","w03Xc318","The condition during the one month before death_(8) loss of consciousness","haven_labelled",309,100,2
"KLoSA","exit","KLOSA/w03_exit_e.dta","w03Xc319","The condition during the one month before death_(9) persistent coughing","haven_labelled",309,100,2
"KLoSA","exit","KLOSA/w03_exit_e.dta","w03Xc320","The condition during the one month before death_(10) difficulty in controlling f","haven_labelled",309,100,2
"KLoSA","exit","KLOSA/w03_exit_e.dta","w03Xc321","The condition during the one month before death_(11) loss of control of bowel or","haven_labelled",309,100,2
"KLoSA","exit","KLOSA/w03_exit_e.dta","w03Xc402","The help required for everyday activities during the last 3 months before death_","numeric",309,100,2
"KLoSA","exit","KLOSA/w03_exit_e.dta","w03Xc403","The help required for everyday activities during the last 3 months before death_","haven_labelled",309,100,2
"KLoSA","exit","KLOSA/w03_exit_e.dta","w03Xc404","The help required for everyday activities during the last 3 months before death_","haven_labelled",309,100,2
"KLoSA","exit","KLOSA/w03_exit_e.dta","w03Xc405","The help required for everyday activities during the last 3 months before death_","haven_labelled",309,100,2
"KLoSA","exit","KLOSA/w03_exit_e.dta","w03Xc406","The help required for everyday activities during the last 3 months before death_","haven_labelled",309,100,2
"KLoSA","exit","KLOSA/w03_exit_e.dta","w03Xc407","The help required for everyday activities during the last 3 months before death_","haven_labelled",309,100,2
"KLoSA","exit","KLOSA/w03_exit_e.dta","w03Xc408","The help required for everyday activities during the last 3 months before death_","haven_labelled",309,100,2
"KLoSA","exit","KLOSA/w03_exit_e.dta","w03Xc506","The type of medical aid during the last 1 month before death","haven_labelled",46,14.89,2
"KLoSA","exit","KLOSA/w03_exit_e.dta","w03Xc519","The hours of hospitalization on the last day before death (unit: hours)","numeric",4,1.29,3
"KLoSA","exit","KLOSA/w03_exit_e.dta","w03Xc529","If not died in the elderly care facility, where to stay until death","haven_labelled",44,14.24,5
"KLoSA","exit","KLOSA/w03_exit_e.dta","w03Xc539","If not died in the elderly care facility, where to stay until death","haven_labelled",8,2.59,4
"KLoSA","exit","KLOSA/w03_exit_e.dta","w03Xd002","(Unemployed in the previous interview) whether or not employed before death","haven_labelled",274,88.67,1
"KLoSA","exit","KLOSA/w03_exit_e.dta","w03Xf023","Whether or not there is Inheritance_(4) Compensation upon death","haven_labelled",78,25.24,2
"KLoSA","exit","KLOSA/w03_exit_e.dta","w03Xf024","The value of inheritance_(4) Compensation upon death (unit: 10,000 won)","haven_labelled",3,0.97,1
"KLoSA","exit","KLOSA/w04_exit_e.dta","pid","Personal ID.","numeric",327,100,327
"KLoSA","exit","KLOSA/w04_exit_e.dta","hhid","Household ID.","numeric",327,100,312
"KLoSA","exit","KLOSA/w04_exit_e.dta","w04Xa006","Expectancy of the person's death","haven_labelled",327,100,3
"KLoSA","exit","KLOSA/w04_exit_e.dta","w04Xa007","The main cause of the person's death according to the death certificate","character",327,100,83
"KLoSA","exit","KLOSA/w04_exit_e.dta","w04Xa008","The type of his/her death","haven_labelled",327,100,3
"KLoSA","exit","KLOSA/w04_exit_e.dta","w04Xa009","The type of his/her violent death","haven_labelled",17,5.2,4
"KLoSA","exit","KLOSA/w04_exit_e.dta","w04Xa010y","The date of his/her death (unit: yyyy)","haven_labelled",327,100,7
"KLoSA","exit","KLOSA/w04_exit_e.dta","w04Xa010m","The date of his/her death (unit: mm)","haven_labelled",327,100,13
"KLoSA","exit","KLOSA/w04_exit_e.dta","w04Xa010d","The date of his/her death (unit: day)","haven_labelled",327,100,32
"KLoSA","exit","KLOSA/w04_exit_e.dta","w04Xa011","The place of the peron's death","haven_labelled",327,100,6
"KLoSA","exit","KLOSA/w04_exit_e.dta","w04Xc101m01","The chronic disease that the person suffered until 1 week before death_ Stroke/","haven_labelled",325,99.39,3
"KLoSA","exit","KLOSA/w04_exit_e.dta","w04Xc101m02","The chronic disease that the person suffered until 1 week before death_High bloo","haven_labelled",325,99.39,3
"KLoSA","exit","KLOSA/w04_exit_e.dta","w04Xc101m03","The chronic disease that the person suffered until 1 week before death_Diabetes/","haven_labelled",325,99.39,3
"KLoSA","exit","KLOSA/w04_exit_e.dta","w04Xc101m04","The chronic disease that the person suffered until 1 week before death_Cancer","haven_labelled",325,99.39,3
"KLoSA","exit","KLOSA/w04_exit_e.dta","w04Xc101m05","The chronic disease that the person suffered until 1 week before death_Lung dise","haven_labelled",325,99.39,3
"KLoSA","exit","KLOSA/w04_exit_e.dta","w04Xc101m06","The chronic disease that the person suffered until 1 week before death_Heart dis","haven_labelled",325,99.39,3
"KLoSA","exit","KLOSA/w04_exit_e.dta","w04Xc101m07","The chronic disease that the person suffered until 1 week before death_Liver dis","haven_labelled",325,99.39,3
