"cohort","source_file","person_id","death_year","death_month","death_day","date_precision","event_rule","notes"
"CHARLS","Charls/2013/Exit_Interview.dta","ID","exb001_1","exb001_2","","month","Rows are exit interview cases; confirm against Sample_Infor and wave linkage","Sample_Infor ID linkage completed; died is a status observation; 2020 Exit_Module supplies dates where linked; noncoverage is not death"
"CHARLS","Charls/2020/Exit_Module.dta","ID","exb001_1","exb001_2","exb001_3","day","Rows are exit module cases; confirm against Sample_Infor and wave linkage","Sample_Infor ID linkage completed; died is a status observation; 2020 Exit_Module supplies dates where linked; noncoverage is not death"
"KLoSA","w03_exit_e.dta","pid","w03Xa010y","w03Xa010m","w03Xa010d","day","Rows are wave-specific exit cases; deduplicate by pid after wave linkage","w01/w02 main coverage and w02_exit_e.dta linked by pid; w03 EXIT linked as later mortality-date source; no final event/censoring rule applied"
"KLoSA","w04_exit_e.dta","pid","w04Xa010y","w04Xa010m","w04Xa010d","day","Rows are wave-specific exit cases; deduplicate by pid after wave linkage","w01/w02 main coverage and w02_exit_e.dta linked by pid; w03 EXIT linked as later mortality-date source; no final event/censoring rule applied"
"KLoSA","w05_exit_e.dta","pid","w05xA010Y","w05xA010M","w05xA010D","day","Rows are wave-specific exit cases; deduplicate by pid after wave linkage","w01/w02 main coverage and w02_exit_e.dta linked by pid; w03 EXIT linked as later mortality-date source; no final event/censoring rule applied"
"KLoSA","w06_Exit_e.dta","pid","w06x_A010Y","w06x_A010M","w06x_A010D","day","Rows are wave-specific exit cases; deduplicate by pid after wave linkage","w01/w02 main coverage and w02_exit_e.dta linked by pid; w03 EXIT linked as later mortality-date source; no final event/censoring rule applied"
"KLoSA","w07_exit_e.dta","pid","w07x_a010y","w07x_a010m","w07x_a010d","day","Rows are wave-specific exit cases; deduplicate by pid after wave linkage","w01/w02 main coverage and w02_exit_e.dta linked by pid; w03 EXIT linked as later mortality-date source; no final event/censoring rule applied"
"KLoSA","w08_exit_e.dta","pid","w08x_a010Y","w08x_a010M","w08x_a010D","day","Rows are wave-specific exit cases; deduplicate by pid after wave linkage","w01/w02 main coverage and w02_exit_e.dta linked by pid; w03 EXIT linked as later mortality-date source; no final event/censoring rule applied"
"KLoSA","Exit09_e.dta","pid","w09X_A010Y","w09X_A010M","w09X_A010D","day","Rows are wave-specific exit cases; deduplicate by pid after wave linkage","w01/w02 main coverage and w02_exit_e.dta linked by pid; w03 EXIT linked as later mortality-date source; no final event/censoring rule applied"
"SHARE","GH_SHARE_EOL_g.dta","mergeid","raxyear","raxmonth","","month","EOL record is a mortality candidate; confirm linkage to baseline person-level file","Year/month precision; no day field in probed EOL file"
"CLHLS","clhls_2011_2018_longitudinal_dataset_released_version1.sav","id","d14vyear/d18vyear","d14vmonth/d18vmonth","","wave-status/date","Use dth11_14/dth14_18 == 1; retain -9 as lost to follow-up and use validated date fields when present","Baseline 2011/2012; d14/d18 validated death dates available"
"ELSA","h_elsa_eol_a2.dta","idauniq","raxyear","","","year","Historical EOL record; not sufficient alone for 2012 baseline 5-year follow-up","Version A.2 covers 2004-2013"
"ELSA","h_elsa_g3.dta","idauniq","r6-r9iwindy","r6-r9iwindm","","wave-status/year-month","For baseline wave 6, evaluate r7-r9 iwstat; codes 5/6 indicate death in/current or previous wave; confirm codebook and dates","Wave status fields are available; exact death date still requires source-specific documentation"
"HRS","H_HRS_d.dta","hhidpn","","","","unresolved","H_HRS_d metadata probe did not identify a death date/status field; do not construct outcome yet","HRS Exit A_R 2012-2020 parsed and linked by HHID+PN; death month/year are source fields; month 98/year 9998 remain unresolved; no final event/censoring rule applied"
"MHAS","H_MHAS_EOL_b.dta","rahhidnp","raxyear","raxmonth","","month","EOL record is a mortality candidate; confirm linkage to baseline person-level file","Year/month precision; no day field in probed EOL file"
