"cohort","role","rel_path","exists","read_status","rows","columns","candidate_id","duplicate_id","format_note"
"CHARLS","exit","Charls/2013/Exit_Interview.dta",TRUE,"ok",431,1837,"ID",0,""
"CHARLS","exit","Charls/2020/Exit_Module.dta",TRUE,"ok",770,1129,"ID",0,""
"KLoSA","exit","KLOSA/w03_exit_e.dta",TRUE,"ok",309,288,"pid",0,""
"KLoSA","exit","KLOSA/w04_exit_e.dta",TRUE,"ok",327,282,"pid",0,""
"KLoSA","exit","KLOSA/w05_exit_e.dta",TRUE,"ok",438,314,"pid",0,""
"KLoSA","exit","KLOSA/w06_Exit_e.dta",TRUE,"ok",403,289,"pid",0,""
"KLoSA","exit","KLOSA/2018 KLoSA 7 wave EXIT/w07_exit_e.dta",TRUE,"ok",551,327,"pid",0,""
"KLoSA","exit","KLOSA/KLoSA 8th wave_EXIT/w08_exit_e.dta",TRUE,"ok",512,329,"pid",0,""
"KLoSA","exit","KLOSA/KLoSA 9 wave Exit/Exit09_e.dta",TRUE,"ok",535,345,"pid",0,""
"SHARE","end_of_life","share harmonised/GH_SHARE_EOL_g.dta",TRUE,"ok",21098,232,"mergeid",0,""
"ELSA","end_of_life","ELSA/stata/stata13_se/h_elsa_eol_a2.dta",TRUE,"ok",983,215,"idauniq",0,""
"MHAS","end_of_life","MHAS/H_MHAS_EOL_b.dta",TRUE,"ok",5623,241,"rahhidnp",0,""
