"item","age_60_69","age_70_79","age_80_plus"
"diabe",0.0745341614906832,0.0683951721054984,0.0572755417956656
"cancre",0.009816474605207,0.0111656989727557,0.00615384615384615
"lunge",0.1240673630356,0.177966101694915,0.138461538461538
"hearte",0.15045949989314,0.181858802502234,0.158461538461538
"psyche",0.0177047781569966,0.0143176733780761,0.0138248847926267
"arthre",0.383109976600723,0.353571428571429,0.299079754601227
"dyslipe",0.114150333835882,0.0993166287015945,0.0616113744075829
"livere",0.0451143895659611,0.0344519015659955,0.0246153846153846
"kidneye",0.0707567336468576,0.0631720430107527,0.0447530864197531
"digeste",0.236270753512133,0.196794300979519,0.184049079754601
"asthmae",0.0421904964841253,0.0758928571428571,0.0705521472392638
"painfr",0.353528911564626,0.331543624161074,0.341576506955178
"hlthlm_c",0.353272343420127,0.388362652232747,0.358974358974359
"slfmem",0.785390713476784,0.808640497845859,0.803130929791271
