"group","item_1","item_2","correlation"
"mobility_walk_jog","walk100a","walk1kma",0.406643653743434
"mobility_walk_jog","walk100a","joga",0.135283424627738
"mobility_walk_jog","walk1kma","joga",0.416741109131539
"sensory_vision","dsight","nsight",0.454644718665131
"adl_internal","dressa","batha",0.645382575512383
"adl_internal","dressa","eata",0.50032167592383
"adl_internal","dressa","beda",0.482465359645997
"adl_internal","dressa","toilta",0.427196086383339
"adl_internal","dressa","urina",0.309489422452027
"adl_internal","batha","eata",0.512421271061981
"adl_internal","batha","beda",0.513936299786667
"adl_internal","batha","toilta",0.490803483286412
"adl_internal","batha","urina",0.337240953328823
"adl_internal","eata","beda",0.468642831041087
"adl_internal","eata","toilta",0.36508306734042
"adl_internal","eata","urina",0.337939852450896
"adl_internal","beda","toilta",0.542965110852069
"adl_internal","beda","urina",0.32464239823649
"adl_internal","toilta","urina",0.349278898613677
