"item","type","missing_n","missing_rate","overall_rate_or_mean","age_60_69","age_70_79","age_80_plus","criterion_3","criterion_2"
"hibpe","binary",237,0.0133860491386614,0.245248454316464,0.304069891327509,0.347767857142857,0.355932203389831,"PASS","PASS_MONOTONIC"
"diabe","binary",299,0.0168878847783112,0.0570492933471217,0.0745341614906832,0.0683951721054984,0.0572755417956656,"PASS","VIOLATES_CRITERION_2"
"cancre","binary",221,0.0124823496187518,0.0102951269732327,0.009816474605207,0.0111656989727557,0.00615384615384615,"PASS","VIOLATES_CRITERION_2"
"lunge","binary",211,0.0119175374188082,0.101806333600091,0.1240673630356,0.177966101694915,0.138461538461538,"PASS","VIOLATES_CRITERION_2"
"hearte","binary",240,0.0135554927986445,0.119839679358717,0.15045949989314,0.181858802502234,0.158461538461538,"PASS","VIOLATES_CRITERION_2"
"stroke","binary",181,0.0102231008189777,0.023567678612189,0.0312632922160783,0.0450691655510933,0.053680981595092,"PASS","PASS_MONOTONIC"
"psyche","binary",217,0.0122564247387744,0.0143526989935956,0.0177047781569966,0.0143176733780761,0.0138248847926267,"PASS","VIOLATES_CRITERION_2"
"arthre","binary",183,0.0103360632589664,0.329471521515809,0.383109976600723,0.353571428571429,0.299079754601227,"PASS","VIOLATES_CRITERION_2"
"dyslipe","binary",494,0.0279017226772098,0.0926732903375748,0.114150333835882,0.0993166287015945,0.0616113744075829,"PASS","VIOLATES_CRITERION_2"
"livere","binary",269,0.0151934481784807,0.0387703601743519,0.0451143895659611,0.0344519015659955,0.0246153846153846,"PASS","VIOLATES_CRITERION_2"
"kidneye","binary",255,0.0144027110985597,0.0633810888252149,0.0707567336468576,0.0631720430107527,0.0447530864197531,"PASS","VIOLATES_CRITERION_2"
"digeste","binary",190,0.0107314317989269,0.222780473879532,0.236270753512133,0.196794300979519,0.184049079754601,"PASS","VIOLATES_CRITERION_2"
"asthmae","binary",210,0.0118610561988139,0.0364104029722778,0.0421904964841253,0.0758928571428571,0.0705521472392638,"PASS","VIOLATES_CRITERION_2"
"dressa","binary",348,0.0196554645580345,0.052197960477041,0.0584958217270195,0.103185284881113,0.194144838212635,"PASS","PASS_MONOTONIC"
"batha","binary",358,0.020220276757978,0.0680809361849311,0.0763784595580348,0.138876404494382,0.268933539412674,"PASS","PASS_MONOTONIC"
"eata","binary",345,0.0194860208980514,0.0305875576036866,0.0357831583458324,0.0614625392552714,0.147919876733436,"PASS","PASS_MONOTONIC"
"beda","binary",347,0.0195989833380401,0.0560548450282291,0.0593656236605229,0.114003590664273,0.240369799691834,"PASS","PASS_MONOTONIC"
"toilta","binary",347,0.0195989833380401,0.115969581749049,0.13949003642597,0.214894571556752,0.346687211093991,"PASS","PASS_MONOTONIC"
"urina","binary",351,0.0198249082180175,0.0436210671891207,0.0482108420827084,0.0816876122082585,0.187981510015408,"PASS","PASS_MONOTONIC"
"moneya","binary",205,0.0115786500988421,0.128457142857143,0.13835674755215,0.212623097582811,0.428129829984544,"PASS","PASS_MONOTONIC"
"medsa","binary",186,0.0105055069189494,0.0698099206575718,0.0741921768707483,0.115127175368139,0.27047913446677,"PASS","PASS_MONOTONIC"
"shopa","binary",185,0.0104490256989551,0.09337899543379,0.099510950457155,0.178810907465355,0.404320987654321,"PASS","PASS_MONOTONIC"
"mealsa","binary",171,0.00965828861903417,0.0910801870651306,0.097960050998725,0.185911725367811,0.408950617283951,"PASS","PASS_MONOTONIC"
"housewka","binary",172,0.00971476983902852,0.0957622768493698,0.10284742881428,0.189201249442213,0.419753086419753,"PASS","PASS_MONOTONIC"
"walk100a","binary",1420,0.0802033323919797,0.0164568621430764,0.0225563909774436,0.0335135135135135,0.0689655172413793,"PASS","PASS_MONOTONIC"
"walk1kma","binary",170,0.00960180739903982,0.156601083547191,0.158767268862912,0.333630289532294,0.546153846153846,"PASS","PASS_MONOTONIC"
"joga","binary",466,0.026320248517368,0.519635709727942,0.580332111278844,0.756525652565257,0.887519260400616,"PASS","PASS_MONOTONIC"
"climsa","binary",291,0.0164360350183564,0.399563569541748,0.453786906290116,0.579918955425484,0.734883720930233,"PASS","PASS_MONOTONIC"
"chaira","binary",174,0.00982773227901723,0.271062688951001,0.302315700021245,0.394115024520731,0.5115562403698,"PASS","PASS_MONOTONIC"
"stoopa","binary",178,0.0100536571589946,0.293318879443145,0.338929026774331,0.428954423592493,0.549230769230769,"PASS","PASS_MONOTONIC"
"armsa","binary",169,0.00954532617904547,0.10384352189781,0.117884451996602,0.161390994204191,0.271604938271605,"PASS","PASS_MONOTONIC"
"lifta","binary",171,0.00965828861903417,0.11965324512376,0.129546904913848,0.250669045495094,0.478461538461538,"PASS","PASS_MONOTONIC"
"dimea","binary",174,0.00982773227901723,0.0411271461981633,0.0431455897980871,0.0851158645276292,0.180277349768875,"PASS","PASS_MONOTONIC"
"dsight","ordinal_or_continuous",1460,0.0824625811917537,0.671575869498307,0.70554932735426,0.741847826086957,0.787155963302752,"NOT_APPLICABLE_ORDINAL","PASS_MONOTONIC"
"nsight","ordinal_or_continuous",1465,0.0827449872917255,0.697506157635468,0.713668984077147,0.721749408983452,0.755045871559633,"NOT_APPLICABLE_ORDINAL","PASS_MONOTONIC"
"hearing","ordinal_or_continuous",148,0.00835922055916408,0.628994133394088,0.655300616103675,0.711135857461024,0.773353751914242,"NOT_APPLICABLE_ORDINAL","PASS_MONOTONIC"
