"","hibpe","diabe","cancre","lunge","hearte","stroke","psyche","arthre","dyslipe","livere","kidneye","digeste","asthmae","dressa","batha","eata","beda","toilta","urina","moneya","medsa","shopa","mealsa","housewka","walk100a","walk1kma","joga","climsa","chaira","stoopa","armsa","lifta","dimea","dsight","nsight","hearing","shlt","painfr","fall","hlthlm_c","slfmem","mbmi","hearaid"
"hibpe",1,0.180166191646541,0.0135021286018158,0.0309913284705917,0.222926359297506,0.13519571092581,0.00983227784696959,0.0568362194361947,0.242060531175523,0.0303135944848045,0.0440286637649269,-0.00540718764639665,0.0196993859468459,0.0906784733360278,0.109853149552982,0.0700141297742083,0.0736757196865943,0.102680438243525,0.0543294285823424,0.09017327379191,0.0673290438971394,0.0977771862383184,0.104955018899437,0.106986326959473,0.0351119394928401,0.128194649043197,0.157329923439633,0.150931432311102,0.120646807893486,0.120257713548289,0.075492200927867,0.103114976254143,0.0771246118343812,0.0796321277443667,0.0577510552242476,0.066841852383045,0.166579703509739,0.0626056652715005,0.0472987926394041,0.044623416398579,0.0661702781126318,0.0312099222856275,0.00170888745805053
"diabe",0.180166191646541,1,0.0267546211039064,0.0224400750470502,0.118725111199146,0.0759601698434273,0.0143903891049028,0.0218439402693988,0.221106698740919,0.035817595256295,0.0508247617939043,-0.00949399277807913,0.0215856853427796,0.0529606741625905,0.0621920905744917,0.0280311761760652,0.031358908186694,0.0554473027784709,0.0449040072487394,0.0402466939231425,0.0384893567970987,0.0428603458837412,0.0580598135492869,0.0591593693935381,0.0235485941674105,0.0692978242323521,0.0827339571726975,0.0918127788961142,0.065020743816504,0.0823077929212245,0.0529828616542682,0.0625436929097407,0.0270655345573539,0.0631253874755269,0.0627886034881554,0.023433577415348,0.128059021828831,0.0419586321056649,0.0457820618941174,0.0337254548420615,0.0270799932725443,0.013504871623043,0.00155687757164797
"cancre",0.0135021286018158,0.0267546211039064,1,0.00216119268457995,0.0152889003922346,0.00280673483201577,0.00712262664795645,0.0219655018699338,0.0284319303656311,0.000298050568059969,0.00651455143941401,0.00400186503876623,-0.00144507986143066,0.00167224025927976,0.0131551607106858,0.00844013132201782,0.00745083003913276,0.0234620870090545,0.0174534791548904,0.012145033863714,0.0167524354964319,0.0160868612253513,0.0151591638264513,0.0207802472435012,-0.00275840828054636,0.0280160914485407,0.0335559092516294,0.0431930557376549,0.0271042862403058,0.0327779839764224,0.0156689507092513,0.0201890495136471,-0.00386893391646641,0.0231102988261693,0.00573935902076337,0.0120088081140993,0.054201457511978,0.0411982146674326,0.00530134761332791,0.0278659063954971,0.0185915336596495,0.0210189852230716,-0.00762275646537635
"lunge",0.0309913284705917,0.0224400750470502,0.00216119268457995,1,0.12676565123381,0.0154454630253691,0.0265043691304056,0.111320031512977,0.00987620761215833,0.0765985408650038,0.0746866700969454,0.0932221844449632,0.336842036292477,0.0535545574167501,0.077209420809901,0.0251500918296802,0.0542277868314994,0.0753987795554168,0.060108652441292,0.0604306805588438,0.0563425201495657,0.0859571807044565,0.0895897915174432,0.0941879369175055,0.0371141527915771,0.112668342352211,0.129750121837405,0.150274700712291,0.0963542461193592,0.104180990213888,0.0751467700565714,0.0915859845967744,0.0433682549854781,0.0885491032455502,0.051410884743459,0.102553712981615,0.163366689183278,0.119561573862317,0.0548555899702978,0.116038148596193,0.0669918644239889,0.0593520123325191,0.0177735023475685
"hearte",0.222926359297506,0.118725111199146,0.0152889003922346,0.12676565123381,1,0.0573266331677348,0.0197794553710109,0.109296206411524,0.179050551710633,0.075198263263737,0.104919443703683,0.0949452654575823,0.0789076139373405,0.064083657214719,0.0885421571275477,0.0384479140659398,0.0726452743555659,0.100427570863955,0.0643881321509579,0.0915298662446727,0.0708895431552548,0.0847378390481898,0.0798192267630368,0.100623696384678,0.0503290729983021,0.142102808078819,0.180531646831939,0.173162579468181,0.13070255523406,0.120438760413999,0.0721073229962129,0.10982704407515,0.0472322972134323,0.0887711872668634,0.0619548581192109,0.0984864583421569,0.211119056433314,0.119702335247373,0.0471564202370407,0.0993872205442325,0.0825726020329475,0.0325325970934491,0.0218640928752177
"stroke",0.13519571092581,0.0759601698434273,0.00280673483201577,0.0154454630253691,0.0573266331677348,1,0.0544948430200652,0.0248373632312992,0.0941573016104588,0.0198495707545849,0.0221790914829877,-0.0105455335772318,0.0161808269928862,0.147825381304642,0.175118290188718,0.155677882860643,0.130592997057958,0.137952339285104,0.1083387544451,0.119569953656809,0.105643725579458,0.151754082672983,0.181417751761313,0.179852179494308,0.0376590695013851,0.134144850625537,0.0820915096561129,0.106468082364933,0.106157146205069,0.110803657001311,0.121222834097357,0.136714501291018,0.127612560817468,0.0522262734831869,0.0338635116922091,0.0436453442295286,0.111888566389044,0.0489879282120934,0.0504217505663197,0.031758611209892,0.0408596380474652,0.0246540202961251,-0.00661367638128181
"psyche",0.00983227784696959,0.0143903891049028,0.00712262664795645,0.0265043691304056,0.0197794553710109,0.0544948430200652,1,0.0200132673514505,0.0243805031068163,0.0260503092918584,0.0284435033536251,0.0436178894577618,0.0287869197345448,0.07907982365498,0.0720231798595841,0.0746926036030379,0.0744073798817455,0.0565747410709569,0.0890946657952893,0.124517519269857,0.120981630374367,0.113211058296786,0.107449488614734,0.101139554340558,0.0341828058578095,0.0608206723379603,0.0523377911655334,0.0520702715789535,0.0541959556335744,0.0563608604375082,0.0554634992327793,0.06985085679038,0.0749747777784574,0.0352719715969303,0.0327222004865215,0.0397837544081448,0.0812567573135365,0.0657610367083293,0.0483956919196531,0.0577149174629874,0.048385619743227,-0.00517686006202609,-0.00906452989330912
"arthre",0.0568362194361947,0.0218439402693988,0.0219655018699338,0.111320031512977,0.109296206411524,0.0248373632312992,0.0200132673514505,1,0.0200869183048402,0.0683426837341872,0.121818113395576,0.19415503809352,0.0580614256065206,0.0990373963473386,0.103268177863573,0.0469817400608746,0.11928122238708,0.191669709607999,0.0775743414805425,0.0878623355337937,0.085914044374036,0.0958673687968639,0.0957078912692193,0.101589628085976,0.0487920118058611,0.133315088347429,0.172887303233052,0.223200690168374,0.225928771007933,0.248622264150888,0.152403540617054,0.119675221303015,0.0549914305467367,0.157964161381778,0.121307948660252,0.132586473793615,0.226508417444758,0.29222365744127,0.100222888490502,0.190947375820581,0.163251045256695,0.00969148084453393,0.00389183243512929
"dyslipe",0.242060531175523,0.221106698740919,0.0284319303656311,0.00987620761215833,0.179050551710633,0.0941573016104588,0.0243805031068163,0.0200869183048402,1,0.048728889381111,0.0538804562618486,0.0355616934979671,0.0277454002815862,0.0249074723821251,0.0448808422374469,0.0140318357565344,0.01324950611069,0.0420971205275513,0.0223199848506325,0.0225377695771246,0.0138083684226135,0.0110435643804022,0.0436252907276474,0.0475445184426896,0.0155151676490075,0.0502137566070497,0.0761924092523986,0.079380457724858,0.0645392977188711,0.0633200209255428,0.023230552100069,0.0350595873040244,0.0204954789658028,0.0260535847263104,0.036672831868089,0.0321257157060864,0.109131371682841,0.0544365061550703,0.0314729923061503,0.0137371338551548,0.0114483195914392,0.0331365384970713,0.00051357895503611
"livere",0.0303135944848045,0.035817595256295,0.000298050568059969,0.0765985408650038,0.075198263263737,0.0198495707545849,0.0260503092918584,0.0683426837341872,0.048728889381111,1,0.125356780800782,0.079449036426331,0.0240203584674592,0.0232326300426945,0.0245116527556196,0.0130392883428938,0.0337986146285318,0.0538096170893008,0.0312403222980277,0.0300108098202934,0.0390468698788267,0.0278914302814837,0.0297660810894025,0.0439492355986544,0.0126240983628444,0.0361747215452782,0.0510307243072811,0.0589848881766993,0.0555906535363397,0.0620982980958611,0.029705206718832,0.022091665456493,0.023092798867182,0.0426883433039901,0.0394926144473349,0.0400191378479953,0.0884721157723312,0.0826183378099048,0.0359185488772766,0.0751571585420073,0.0341612352765757,-0.00316039095716054,0.00893579149891138
