"item","domain"
"hibpe","comorbidity"
"diabe","comorbidity"
"cancre","comorbidity"
"lunge","comorbidity"
"hearte","comorbidity"
"stroke","comorbidity"
"psyche","comorbidity"
"arthre","comorbidity"
"dyslipe","comorbidity"
"livere","comorbidity"
"kidneye","comorbidity"
"digeste","comorbidity"
"asthmae","comorbidity"
"dressa","adl"
"batha","adl"
"eata","adl"
"beda","adl"
"toilta","adl"
"urina","adl"
"moneya","iadl"
"medsa","iadl"
"shopa","iadl"
"mealsa","iadl"
"housewka","iadl"
"walk100a","mobility"
"walk1kma","mobility"
"joga","mobility"
"climsa","mobility"
"chaira","mobility"
"stoopa","mobility"
"armsa","mobility"
"lifta","mobility"
"dimea","mobility"
"dsight","sensory"
"nsight","sensory"
"hearing","sensory"
"shlt","general"
"painfr","general"
"fall","general"
"hlthlm_c","general"
"slfmem","general"
"mbmi","general"
"hearaid","cognition"
