"stem","CHARLS","CLHLS","KLoSA","HRS","SHARE","MHAS","n_cohorts","in_FI_core","in_FI_core5"
"activity_health",NA,NA,0.4884,NA,NA,NA,1,FALSE,FALSE
"armsa",0.1438,0.0615,NA,0.1962,0.1177,0.1593,5,FALSE,TRUE
"arthre",0.3672,0.1438,0.0254,0.672,0.3231,0.3109,6,TRUE,TRUE
"asthmae",0.0546,0.011,NA,NA,0.3865,NA,3,FALSE,FALSE
"batha",0.1114,0.2398,0.0411,0.1864,0.0803,0.0673,6,TRUE,TRUE
"beda",0.0911,0.1145,0.0303,0.1503,0.0511,0.1019,6,TRUE,TRUE
"cancre",0.0099,0.009,0.0144,0.1857,0.0887,0.0359,6,TRUE,TRUE
"chaira",0.3473,0.3105,NA,0.4274,0.2327,0.3404,5,FALSE,TRUE
"climsa",0.515,0.5203,NA,0.4338,0.3481,0.4993,5,FALSE,TRUE
"concentration",NA,NA,0.1933,NA,NA,NA,1,FALSE,FALSE
"depressed_yr",NA,NA,NA,0.1329,NA,NA,1,FALSE,FALSE
"diabe",0.0712,0.0434,0.0248,0.2671,0.1584,0.2638,6,TRUE,TRUE
"digeste",0.2201,0.0554,NA,NA,NA,NA,2,FALSE,FALSE
"dimea",0.0673,NA,NA,0.0948,0.0548,0.0927,4,FALSE,FALSE
"dizzy",NA,NA,NA,0.1431,NA,NA,1,FALSE,FALSE
"dressa",0.0834,0.1306,0.0278,0.1831,0.1018,0.1198,6,TRUE,TRUE
"dsight",0.7226,0.2438,0.5123,0.4149,0.4164,NA,5,FALSE,TRUE
"dyslipe",0.1053,0.0439,NA,NA,0.3027,NA,3,FALSE,FALSE
"eata",0.053,0.0861,0.0257,0.096,0.0247,0.0445,6,TRUE,TRUE
"ever_depression",NA,NA,NA,0.211,NA,NA,1,FALSE,FALSE
"fall",0.1904,0.3803,0.0251,0.3685,0.0624,0.4325,6,TRUE,TRUE
"fatigue",NA,NA,NA,0.2049,NA,NA,1,FALSE,FALSE
"gloom_2wk",NA,NA,0.0692,NA,NA,NA,1,FALSE,FALSE
"grooming",NA,NA,0.0309,NA,NA,NA,1,FALSE,FALSE
"hearing",0.6819,0.4752,0.3901,0.4503,0.4549,0.6402,6,TRUE,TRUE
"hearing_activity",NA,NA,0.0548,NA,NA,NA,1,FALSE,FALSE
"hearte",0.1604,0.1271,0.0166,0.3015,0.2014,NA,5,FALSE,TRUE
"hibpe",0.3214,0.2955,0.0674,0.6819,0.49,0.5945,6,TRUE,TRUE
"housewka",0.1554,0.5622,0.0599,0.2714,0.153,NA,5,FALSE,TRUE
"joga",0.659,0.5306,NA,0.6829,NA,0.6445,4,FALSE,FALSE
"kidneye",0.0663,0.0086,NA,0.1213,NA,NA,3,FALSE,FALSE
"laundry",NA,NA,0.0865,NA,NA,NA,1,FALSE,FALSE
"lifta",0.1952,0.453,NA,0.3028,0.2655,0.2943,5,FALSE,TRUE
"livere",0.0402,0.006,0.0031,NA,0.0796,NA,4,FALSE,FALSE
"lunge",0.1412,0.1217,0.0074,0.1184,0.0897,NA,5,FALSE,TRUE
"mbmi",0.1456,0.2977,0.0653,0.3341,0.2293,0.3411,6,TRUE,TRUE
"mealsa",0.1505,0.3713,0.0822,0.081,0.0558,0.0644,6,TRUE,TRUE
"medsa",0.103,0.3512,0.0311,0.0553,0.0283,0.0321,6,TRUE,TRUE
"moneya",0.185,0.2392,0.0582,0.0718,0.0606,0.033,6,TRUE,TRUE
"near_out",NA,NA,0.066,NA,NA,NA,1,FALSE,FALSE
"nsight",0.7192,0.1253,0.5083,0.4563,0.4834,NA,5,FALSE,TRUE
"other_disease",NA,NA,0.0787,NA,NA,NA,1,FALSE,FALSE
"painfr",0.346,0.621,0.4442,0.3598,0.5912,0.3946,6,TRUE,TRUE
"phone",NA,NA,0.0389,NA,NA,NA,1,FALSE,FALSE
"psyche",0.0164,0.1502,0.009,0.1853,0.0998,NA,5,FALSE,TRUE
"restless_sleep",NA,NA,0.2078,NA,NA,NA,1,FALSE,FALSE
"shlt",0.7504,0.4085,0.7349,0.4875,0.5869,0.6861,6,TRUE,TRUE
"shopa",0.1489,0.3696,0.0556,0.0993,0.0902,0.1232,6,TRUE,TRUE
"slfmem",0.7936,0.0338,NA,0.5192,0.5285,0.654,5,FALSE,TRUE
"stoopa",0.3835,0.1276,NA,0.5153,0.3673,0.4735,5,FALSE,TRUE
"stroke",0.0373,0.0862,0.0121,0.095,0.0688,0.0443,6,TRUE,TRUE
"toilta",0.1796,0.133,0.0263,0.1476,0.0338,0.0793,6,TRUE,TRUE
"transport_out",NA,NA,0.0743,NA,NA,NA,1,FALSE,FALSE
"urina",0.0701,0.066,0.0212,0.2829,0.0792,NA,5,FALSE,TRUE
"vision_activity",NA,NA,0.0526,NA,NA,NA,1,FALSE,FALSE
"walk100a",0.0284,0.2565,NA,0.5354,0.152,NA,4,FALSE,FALSE
"walk1kma",0.2436,0.4766,NA,0.3714,0.032,NA,4,FALSE,FALSE
"wash_groom",NA,NA,0.0291,NA,NA,NA,1,FALSE,FALSE
"weight_change",NA,NA,0.1944,NA,NA,NA,1,FALSE,FALSE
