"fi_stem","has_data"
"hibpe",TRUE
"diabe",TRUE
"cancre",TRUE
"lunge",TRUE
"hearte",TRUE
"stroke",TRUE
"psyche",TRUE
"arthre",TRUE
"dyslipe",TRUE
"livere",FALSE
"kidneye",TRUE
"digeste",FALSE
"asthmae",FALSE
"dressa",TRUE
"batha",TRUE
"eata",TRUE
"beda",TRUE
"toilta",TRUE
"urina",TRUE
"housewka",FALSE
"mealsa",TRUE
"shopa",TRUE
"moneya",TRUE
"medsa",TRUE
"walk100a",TRUE
"walk1kma",TRUE
"joga",FALSE
"climsa",TRUE
"chaira",TRUE
"stoopa",TRUE
"armsa",FALSE
"lifta",TRUE
"dimea",TRUE
"dsight",TRUE
"nsight",TRUE
"hearing",TRUE
"shlt",TRUE
"painfr",TRUE
"fall",TRUE
"slfmem",FALSE
"mbmi",TRUE
