"item_1","item_2","abs_correlation"
"dressa","eata",0.8893792360612
"dressa","beda",0.87315300708554
"eata","beda",0.899820953349591
"dressa","toilta",0.887202485727137
"eata","toilta",0.896628154202925
"beda","toilta",0.923419563230556
"housewka","mealsa",0.850244273350556
"shopa","moneya",0.906746638556784
"dressa","wash_groom",0.925240626000888
"batha","wash_groom",0.881285469281355
"eata","wash_groom",0.876852682683999
"beda","wash_groom",0.896353023567894
"toilta","wash_groom",0.905243209006385
"mealsa","laundry",0.939629154518971
"shopa","near_out",0.885732437747295
"shopa","transport_out",0.880981182033458
"near_out","transport_out",0.933473999349558
"medsa","phone",0.88614781752044
"dressa","grooming",0.884968830911308
"batha","grooming",0.856441679280147
"eata","grooming",0.870836909492211
"beda","grooming",0.872903142807852
"toilta","grooming",0.892981406448503
"wash_groom","grooming",0.89265910399465
