"stem","domain","source_vars","status","coding_note","review_note","n_nonmissing","deficit_rate"
"hibpe","comorbidity","w04C006","direct","1=yes; 5=no; -8/-9 missing","",4739,0.0582401350495885
"diabe","comorbidity","w04C011","direct","1=yes; 5=no; -8/-9 missing","",6345,0.0208037825059102
"cancre","comorbidity","w04C016","direct","1=yes; 5=no; -8/-9 missing","",7205,0.0129077029840389
"lunge","comorbidity","w04C023","direct","1=yes; 5=no; -8/-9 missing","",7285,0.0057652711050103
"livere","comorbidity","w04C028","direct","1=yes; 5=no; -8/-9 missing","",7315,0.00314422419685578
"hearte","comorbidity","w04C033","direct","1=yes; 5=no; -8/-9 missing","",6960,0.0139367816091954
"stroke","comorbidity","w04C038","direct","1=yes; 5=no; -8/-9 missing","",7135,0.00939032936229853
"psyche","comorbidity","w04C043","direct","1=yes; 5=no; -8/-9 missing","",7232,0.00746681415929204
"arthre","comorbidity","w04C048","direct","1=yes; 5=no; -8/-9 missing","",5763,0.0204754468158945
"other_disease","comorbidity","w04C103","documented_substitute","1=yes; 5=no; -8/-9 missing","Other disease substitutes an unavailable disease slot.",7486,0.0686615014694096
"weight_change","comorbidity","w04C106","documented_substitute","1:4=weight change deficit; 5=no change","Recent >5 kg weight change substitutes a metabolic symptom slot.",7480,0.183422459893048
"gloom_2wk","comorbidity","w04C141","documented_substitute","1/3=yes; 5=no; -8/-9 missing","Two-week gloom substitutes a depressive-symptom slot.",7485,0.0610554442217769
"restless_sleep","comorbidity","w04C148","documented_substitute","1=rarely to 4=most/all; (x-1)/3","Restless sleep substitutes a symptom slot.",7422,0.181936584927692
"dressa","adl","w04C201","direct","1=no help; 3=some help; 5=full help; -8/-9 missing","",7486,0.0205049425594443
"batha","adl","w04C203","direct","1=no help; 3=some help; 5=full help; -8/-9 missing","",7486,0.0302564787603527
"eata","adl","w04C204","direct","1=no help; 3=some help; 5=full help; -8/-9 missing","",7486,0.0193026983702912
"beda","adl","w04C205","direct","1=no help; 3=some help; 5=full help; -8/-9 missing","",7486,0.0224418915308576
"toilta","adl","w04C206","direct","1=no help; 3=some help; 5=full help; -8/-9 missing","",7486,0.0195030724018167
"urina","adl","w04C068","direct","1=yes; 5=no; -8/-9 missing","",3127,0.0166293572113847
"housewka","iadl","w04C209","direct","1=no help; 3=some help; 5=full help; -8/-9 missing","",7486,0.0475554368153887
"mealsa","iadl","w04C210","direct","1=no help; 3=some help; 5=full help; -8/-9 missing","",7486,0.0665909698103126
"shopa","iadl","w04C214","direct","1=no help; 3=some help; 5=full help; -8/-9 missing","",7486,0.0412770504942559
"moneya","iadl","w04C215","direct","1=no help; 3=some help; 5=full help; -8/-9 missing","",7485,0.0430193720774883
"medsa","iadl","w04C217","direct","1=no help; 3=some help; 5=full help; -8/-9 missing","",7486,0.0230430136254341
"wash_groom","mobility","w04C202","documented_substitute","1=no help; 3=some help; 5=full help; -8/-9 missing","",7486,0.0215068127170719
"laundry","mobility","w04C211","documented_substitute","1=no help; 3=some help; 5=full help; -8/-9 missing","",7486,0.0695965802831953
"near_out","mobility","w04C212","documented_substitute","1=no help; 3=some help; 5=full help; -8/-9 missing","",7486,0.0489580550360673
"transport_out","mobility","w04C213","documented_substitute","1=no help; 3=some help; 5=full help; -8/-9 missing","",7486,0.0554368153887256
"phone","mobility","w04C216","documented_substitute","1=no help; 3=some help; 5=full help; -8/-9 missing","",7486,0.0288538605396741
"activity_health","mobility","w04C005","documented_substitute","1=very much limited to 4=not at all; (4-x)/3","",7486,0.437349719476356
"vision_activity","mobility","w04C081","documented_substitute","1=yes; 5=no; -8/-9 missing","",7456,0.0395654506437768
"hearing_activity","mobility","w04C084","documented_substitute","1=yes; 5=no; -8/-9 missing","",7486,0.0400748063051029
"grooming","mobility","w04C208","documented_substitute","1=no help; 3=some help; 5=full help; -8/-9 missing","",7486,0.0229094309377505
"dsight","sensory","w04C075","direct","1=very good to 5=very bad; (x-1)/4","",7456,0.481826716738197
"nsight","sensory","w04C076","direct","1=very good to 5=very bad; (x-1)/4","",7456,0.47807135193133
"hearing","sensory","w04C083","direct","1=very good to 5=very bad; (x-1)/4","",7486,0.357467272241517
"shlt","general","w04C001","direct","1=excellent to 5=poor; (x-1)/4","",7486,0.686715201709858
"painfr","general","w04C102","direct","1=yes; 5=no; -8/-9 missing","",4704,0.392431972789116
"fall","general","w04C056","direct","1=yes; 5=no; -8/-9 missing","",7486,0.0211060646540208
"mbmi","general","w04C105;w04C107","direct","Weight kg and height cm; BMI deficit outside 18.5-30","",7229,0.055747682943699
"concentration","cognition","w04C143","documented_substitute","1=rarely to 4=most/all; (x-1)/3","",7421,0.166374702421057
