"metric","value","cohort"
"raw_rows",54550,"SHARE"
"age60_rows",36604,"SHARE"
"fi_eligible_all",54177,"SHARE"
"fi_eligible_age60",36361,"SHARE"
"fi_median_all",0.148648648648649,"SHARE"
"fi_median_age60",0.168918918918919,"SHARE"
"fi_min",0,"SHARE"
"fi_max",0.973684210526316,"SHARE"
"item_count",41,"SHARE"
"threshold",33,"SHARE"
"raw_rows",26839,"MHAS"
"age60_rows",10174,"MHAS"
"fi_eligible_all",1345,"MHAS"
"fi_eligible_age60",882,"MHAS"
"fi_median_all",0.321212121212121,"MHAS"
"fi_median_age60",0.345454545454545,"MHAS"
"fi_min",0.0363636363636364,"MHAS"
"fi_max",0.909090909090909,"MHAS"
"item_count",41,"MHAS"
"threshold",33,"MHAS"
"raw_rows",9765,"CLHLS"
"age60_rows",9749,"CLHLS"
"fi_eligible_all",9222,"CLHLS"
"fi_eligible_age60",9207,"CLHLS"
"fi_median_all",0.166666666666667,"CLHLS"
"fi_median_age60",0.16875,"CLHLS"
"fi_min",0,"CLHLS"
"fi_max",0.770833333333333,"CLHLS"
"item_count",41,"CLHLS"
"threshold",33,"CLHLS"
