"cohort","stem","domain","source_var","source_label","status","coding","review_note","n_nonmissing","deficit_rate"
"SHARE","hibpe","comorbidity","r4hibpe","SHARE harmonised wave-4 field","direct","Binary 1=deficit; ordinal/rating5=(x-1)/4; BMI WHO <18.5 or >=30","",54262,0.422155467914931
"SHARE","dyslipe","comorbidity","r4hchole","ever had high cholesterol","documented_substitute","1=deficit, 0=no","No r4dyslipe exists; high cholesterol is the closest labelled dyslipidemia proxy.",54260,0.269517139697752
"SHARE","diabe","comorbidity","r4diabe","SHARE harmonised wave-4 field","direct","Binary 1=deficit; ordinal/rating5=(x-1)/4; BMI WHO <18.5 or >=30","",54253,0.131974268704035
"SHARE","cancre","comorbidity","r4cancre","SHARE harmonised wave-4 field","direct","Binary 1=deficit; ordinal/rating5=(x-1)/4; BMI WHO <18.5 or >=30","",54250,0.0734562211981567
"SHARE","lunge","comorbidity","r4lunge","SHARE harmonised wave-4 field","direct","Binary 1=deficit; ordinal/rating5=(x-1)/4; BMI WHO <18.5 or >=30","",54249,0.0769415104425888
"SHARE","livere","comorbidity","r4ulcere","ever had ulcer","cross_domain_substitute","1=deficit, 0=no","No liver disease field was found; ulcer is not equivalent and is retained only as a flagged sensitivity item.",54250,0.0736774193548387
"SHARE","hearte","comorbidity","r4hearte","SHARE harmonised wave-4 field","direct","Binary 1=deficit; ordinal/rating5=(x-1)/4; BMI WHO <18.5 or >=30","",54257,0.156864552039368
"SHARE","stroke","comorbidity","r4stroke","SHARE harmonised wave-4 field","direct","Binary 1=deficit; ordinal/rating5=(x-1)/4; BMI WHO <18.5 or >=30","",54249,0.0539549116112739
"SHARE","psyche","comorbidity","r4psyche","SHARE harmonised wave-4 field","direct","Binary 1=deficit; ordinal/rating5=(x-1)/4; BMI WHO <18.5 or >=30","",53911,0.109792064699227
"SHARE","arthre","comorbidity","r4arthre","SHARE harmonised wave-4 field","direct","Binary 1=deficit; ordinal/rating5=(x-1)/4; BMI WHO <18.5 or >=30","",54261,0.278100293028142
"SHARE","kidneye","comorbidity","","No verified baseline kidney field","unsupported","NA","Must not be filled from unrelated symptoms.",0,
"SHARE","digeste","comorbidity","","No verified baseline digestive field","unsupported","NA","Must not be filled from unrelated symptoms.",0,
"SHARE","asthmae","comorbidity","r4respe","chronic lung disease or asthma","documented_substitute","1=deficit, 0=no","Respiratory disease including asthma replaces the unavailable asthma-only field.",14197,0.346552088469395
