"","CHARLS","CLHLS","KLoSA","HRS","SHARE","MHAS"
"arthre",0.1584,0.0956,0.0527,0.1205,0.1434,0.0824
"batha",0.1284,0.1078,0.0014,0.1717,0.1013,0.0324
"beda",0.0781,0.0524,0.03,0.0463,0.009,0.0153
"cancre",0.0631,0.0932,0.1627,0.1581,0.1556,0.1105
"diabe",0.0514,0.0978,0.0764,0.0638,0.1282,0.265
"dressa",0.0223,0.1183,0.0623,0.083,0.0124,0.0227
"eata",0.0247,0.0393,0.0241,0.0666,0.0094,0.051
"fall",0.0767,0.0913,0.0245,0.1291,0.012,0.0396
"hearing",0.0085,0.0551,0.1544,0.0113,0.0036,0.0206
"hibpe",0.083,4e-04,0.0445,0.0136,0.0546,8e-04
"mbmi",0.0799,0.1603,0.1273,0.0312,0.0108,0.0051
"mealsa",0.1284,0.2228,0.2283,0.0775,0.09,0.1077
"medsa",0.0568,0.1496,0.0541,0.0466,0.0408,0.0757
"moneya",0.0175,0.0664,0.0541,0.0452,0.0717,0.0614
"painfr",0.0809,0.0424,0.0808,0.078,0.1091,0.0346
"shlt",0.2395,0.1025,0.1578,0.5051,0.4684,0.2422
"shopa",0.1037,0.0961,0.0184,0.038,0.0708,0.1439
"stroke",0.029,0.0682,0.0275,0.1456,0.0192,0.0358
"toilta",0.006,0.0321,0.0788,0.0101,0.0017,0.0571
"age",0.6723,0.9375,0.7619,0.8373,0.6807,0.5958
