"","CHARLS","CLHLS","KLoSA","HRS","SHARE","MHAS"
"arthre",3,10,13,7,4,7
"batha",4,6,20,3,7,15
"beda",10,16,15,14,18,18
"cancre",12,11,3,4,3,5
"diabe",14,8,9,12,5,2
"dressa",17,5,10,8,14,16
"eata",16,18,18,11,17,11
"fall",11,12,17,6,15,12
"hearing",19,15,5,19,19,17
"hibpe",7,20,14,18,11,20
"mbmi",9,3,6,17,16,19
"mealsa",5,2,2,10,8,6
"medsa",13,4,11,13,12,8
"moneya",18,14,12,15,9,9
"painfr",8,17,7,9,6,14
"shlt",2,7,4,2,2,3
"shopa",6,9,19,16,10,4
"stroke",15,13,16,5,13,13
"toilta",20,19,8,20,20,10
"age",1,1,1,1,1,1
