country_id,country,isocountry,isocountry_label,source_rows,r4_status_respondent_n,r4_date_any_valid_n,r6_status_respondent_n,r6_date_any_valid_n,paired_valid_n,paired_interval_min_months,paired_interval_median_months,paired_interval_max_months,paired_negative_interval_n,paired_interval_48_month_n,paired_interval_not_48_month_n,r4_n,r4_min,r4_max,r4_span_months,r4_unique_months,r4_year_min,r4_year_max,r6_n,r6_min,r6_max,r6_span_months,r6_unique_months,r6_year_min,r6_year_max
11,Austria,40,040.Austria,7575,5133,5133,3323,3323,3037,38.0,46.0,55.0,0,297,2740,5133,2011-03,2011-12,10.0,10,2011.0,2011.0,3323,2015-01,2015-11,11.0,11,2015.0,2015.0
12,Germany,276,276.Germany,11091,1619,1619,4411,4411,980,35.0,44.0,54.0,0,81,899,1619,2011-02,2012-04,15.0,14,2011.0,2012.0,4411,2015-02,2015-11,10.0,10,2015.0,2015.0
13,Sweden,752,752.Sweden,6941,1967,1967,3900,3900,1391,38.0,45.0,54.0,0,73,1318,1967,2011-04,2011-12,9.0,9,2011.0,2011.0,3900,2015-02,2015-11,10.0,10,2015.0,2015.0
14,Netherlands,528,528.Netherlands,6651,2788,2788,0,0,0,,,,0,0,0,2788,2011-02,2011-09,8.0,8,2011.0,2011.0,0,,,,0,,
15,Spain,724,724.Spain,9326,3727,3727,5609,5609,2649,41.0,48.0,57.0,0,522,2127,3727,2011-01,2011-11,11.0,10,2011.0,2011.0,5609,2015-01,2015-11,11.0,11,2015.0,2015.0
16,Italy,380,380.Italy,8562,3566,3566,5297,5297,2391,39.0,47.0,55.0,0,363,2028,3566,2011-02,2011-11,10.0,10,2011.0,2011.0,5297,2015-01,2015-10,10.0,10,2015.0,2015.0
17,France,250,250.France,9404,5850,5850,3947,3947,3229,42.0,47.0,54.0,0,566,2663,5850,2011-02,2011-09,8.0,8,2011.0,2011.0,3947,2015-02,2015-11,10.0,10,2015.0,2015.0
18,Denmark,208,208.Denmark,6185,2286,2286,3732,3732,1716,43.0,49.0,57.0,0,306,1410,2286,2011-02,2011-08,7.0,7,2011.0,2011.0,3732,2015-02,2015-11,10.0,10,2015.0,2015.0
19,Greece,300,300.Greece,6653,0,0,4924,4924,0,,,,0,0,0,0,,,,0,,,4924,2015-01,2015-11,11.0,8,2015.0,2015.0
20,Switzerland,756,756.Switzerland,4923,3784,3784,2803,2803,2662,38.0,46.0,56.0,0,398,2264,3784,2011-02,2011-12,11.0,11,2011.0,2011.0,2803,2015-02,2015-11,10.0,10,2015.0,2015.0
23,Belgium,56,056.Belgium,10900,5322,5322,5813,5813,3499,39.0,46.0,55.0,0,477,3022,5322,2011-03,2011-12,10.0,10,2011.0,2011.0,5813,2015-01,2015-11,11.0,11,2015.0,2015.0
25,Israel,376,376.Israel,4576,0,0,2035,2035,0,,,,0,0,0,0,,,,0,,,2035,2015-01,2015-11,11.0,11,2015.0,2015.0
28,Czech Republic,203,203.Czech Republic,9685,5513,5513,4842,4842,3600,41.0,47.0,56.0,0,397,3203,5513,2011-01,2011-09,9.0,9,2011.0,2011.0,4842,2015-01,2015-10,10.0,10,2015.0,2015.0
29,Poland,616,616.Poland,8219,1733,1733,1826,1826,1341,35.0,38.0,43.0,0,0,1341,1733,2011-12,2012-04,5.0,5,2011.0,2012.0,1826,2015-02,2015-09,8.0,8,2015.0,2015.0
30,Ireland,372,372.Ireland,1035,0,0,0,0,0,,,,0,0,0,0,,,,0,,,0,,,,0,,
31,Luxembourg,442,442.Luxembourg,2200,0,0,1563,1563,0,,,,0,0,0,0,,,,0,,,1563,2015-01,2015-11,11.0,11,2015.0,2015.0
32,Hungary,348,348.Hungary,4029,3070,3070,0,0,0,,,,0,0,0,3070,2011-02,2011-10,9.0,9,2011.0,2011.0,0,,,,0,,
33,Portugal,620,620.Portugal,2775,2013,2013,1674,1674,1503,39.0,46.0,57.0,0,167,1336,2013,2011-01,2011-12,12.0,12,2011.0,2011.0,1674,2015-01,2015-11,11.0,11,2015.0,2015.0
34,Slovenia,705,705.Slovenia,7031,2748,2748,4223,4223,1888,39.0,43.0,50.0,0,39,1849,2748,2011-07,2011-11,5.0,5,2011.0,2011.0,4223,2015-01,2015-09,9.0,9,2015.0,2015.0
35,Estonia,233,233.Estonia,8611,6863,6863,5638,5638,4797,45.0,54.0,64.0,0,0,4797,6863,2010-05,2011-12,20.0,9,2010.0,2011.0,5638,2015-06,2015-11,6.0,6,2015.0,2015.0
47,Croatia,191,191.Croatia,5906,0,0,2495,2495,0,,,,0,0,0,0,,,,0,,,2495,2015-06,2015-11,6.0,6,2015.0,2015.0
48,Lithuania,440,440.Lithuania,2152,0,0,0,0,0,,,,0,0,0,0,,,,0,,,0,,,,0,,
51,Bulgaria,100,100.Bulgaria,2021,0,0,0,0,0,,,,0,0,0,0,,,,0,,,0,,,,0,,
53,Cyprus,196,196.Cyprus,1331,0,0,0,0,0,,,,0,0,0,0,,,,0,,,0,,,,0,,
55,Finland,246,246.Finland,2702,0,0,0,0,0,,,,0,0,0,0,,,,0,,,0,,,,0,,
57,Latvia,428,428.Latvia,2663,0,0,0,0,0,,,,0,0,0,0,,,,0,,,0,,,,0,,
59,Malta,470,470.Malta,1314,0,0,0,0,0,,,,0,0,0,0,,,,0,,,0,,,,0,,
61,Romania,642,642.Romania,2198,0,0,0,0,0,,,,0,0,0,0,,,,0,,,0,,,,0,,
63,Slovakia,703,703.Slovakia,2105,0,0,0,0,0,,,,0,0,0,0,,,,0,,,0,,,,0,,
