"Stem","Domain","Concept","Gateway .do line","Raw variable(s)","In final 41-item FI","Note"
"arthre","Chronic conditions","arthritis",7517,"da007_13_","Yes",""
"asthmae","Chronic conditions","asthma",7597,"da007_14_","Yes",""
"cancre","Chronic conditions","cancer",7437,"da007_4_","Yes",""
"diabe","Chronic conditions","diabetes",7421,"da007_3_","Yes",""
"digeste","Chronic conditions","digestive disease",7581,"da007_10_","Yes",""
"dyslipe","Chronic conditions","dyslipidemia",7533,"da007_2_","Yes",""
"hearte","Chronic conditions","heart disease",7469,"da007_7_","Yes",""
"hibpe","Chronic conditions","hypertension",7405,"da007_1_","Yes",""
"kidneye","Chronic conditions","kidney disease",7565,"da007_9_","Yes",""
"livere","Chronic conditions","liver disease",7549,"da007_6_","Yes",""
"lunge","Chronic conditions","chronic lung disease",7453,"da007_5_","Yes",""
"psyche","Chronic conditions","psychiatric problem",7501,"da007_11_","Yes",""
"stroke","Chronic conditions","stroke",7485,"da007_8_","Yes",""
"batha","ADL","bathing",6496,"db001;db004;db005;db006;db007;db008;db009;db011","Yes",""
"beda","ADL","bed transfer",6530,"db001;db004;db005;db006;db007;db008;db009;db013","Yes",""
"dressa","ADL","dressing",6479,"db001;db004;db005;db006;db007;db008;db009;db010","Yes",""
"eata","ADL","eating",6513,"db001;db004;db005;db006;db007;db008;db009;db012","Yes",""
"toilta","ADL","toileting",6547,"db001;db004;db005;db006;db007;db008;db009;db014","Yes",""
"urina","ADL","continence",6564,"db001;db004;db005;db006;db007;db008;db009;db015","Yes",""
"housewka","IADL","housework",6753,"db016","Yes",""
"mealsa","IADL","preparing meals",6737,"db017","Yes",""
"medsa","IADL","taking medication",6705,"db020","Yes",""
"moneya","IADL","managing money",6689,"db019","Yes",""
"shopa","IADL","shopping",6721,"db018","Yes",""
"armsa","Mobility","raise arms",6459,"db007","Yes",""
"chaira","Mobility","chair rise",6373,"db004","Yes",""
"climsa","Mobility","climb flights of stairs",6390,"db005","Yes",""
"dimea","Mobility","pick up coin",6442,"db009","Yes",""
"joga","Mobility","jog 1km",6322,"db001","Yes",""
"lifta","Mobility","lift 5kg",6425,"db008","Yes",""
"stoopa","Mobility","stoop/kneel/crouch",6408,"db006","Yes",""
"walk100a","Mobility","walk 100m",6356,"db001;db002;db003","Yes",""
"walk1kma","Mobility","walk 1km",6339,"db001;db002","Yes",""
"dsight","Sensory","distance vision",8719,"da032;da033","Yes",""
"hearing","Sensory","hearing",8764,"da039","Yes",""
"nsight","Sensory","near vision",8733,"da032;da034","Yes",""
"fall","General health","fall history",8794,"da023","Yes",""
"hearaid","General health","wears hearing aid",8777,"da038","No","Excluded: positive rate 0.56% (< 1% Searle criterion); cross-cohort non-comparability"
"hlthlm_c","General health","health limits activity",8960,"fa001;fa002;fa003;fa005;fc013;fd030;fh004","No","Excluded: missing rate 35.1% (> 30% threshold)"
"mbmi","General health","measured BMI",50485,"","Yes",""
"mbmicata","General health","BMI category",50503,"","No","Excluded: construct redundant with continuous mbmi"
"painfr","General health","frequent pain",8924,"da041","Yes",""
"shlt","General health","self-rated health",6244,"da001;da002;da079;da080","Yes",""
"slfmem","Cognitive proxy","self-rated memory",20727,"db032;dc004","Yes",""
