"Stem","CHARLS","CLHLS","KLoSA","HRS","SHARE","MHAS","Cohorts with data","FI_core (6/6)","FI_core_5of6"
"arthre","0.367","0.144","0.025","0.672","0.323","0.311",6,"Yes","Yes"
"batha","0.111","0.240","0.041","0.186","0.080","0.067",6,"Yes","Yes"
"beda","0.091","0.114","0.030","0.150","0.051","0.102",6,"Yes","Yes"
"cancre","0.010","0.009","0.014","0.186","0.089","0.036",6,"Yes","Yes"
"diabe","0.071","0.043","0.025","0.267","0.158","0.264",6,"Yes","Yes"
"dressa","0.083","0.131","0.028","0.183","0.102","0.120",6,"Yes","Yes"
"eata","0.053","0.086","0.026","0.096","0.025","0.044",6,"Yes","Yes"
"fall","0.190","0.380","0.025","0.368","0.062","0.432",6,"Yes","Yes"
"hearing","0.682","0.475","0.390","0.450","0.455","0.640",6,"Yes","Yes"
"hibpe","0.321","0.295","0.067","0.682","0.490","0.595",6,"Yes","Yes"
"mbmi","0.146","0.298","0.065","0.334","0.229","0.341",6,"Yes","Yes"
"mealsa","0.150","0.371","0.082","0.081","0.056","0.064",6,"Yes","Yes"
"medsa","0.103","0.351","0.031","0.055","0.028","0.032",6,"Yes","Yes"
"moneya","0.185","0.239","0.058","0.072","0.061","0.033",6,"Yes","Yes"
"painfr","0.346","0.621","0.444","0.360","0.591","0.395",6,"Yes","Yes"
"shlt","0.750","0.408","0.735","0.487","0.587","0.686",6,"Yes","Yes"
"shopa","0.149","0.370","0.056","0.099","0.090","0.123",6,"Yes","Yes"
"stroke","0.037","0.086","0.012","0.095","0.069","0.044",6,"Yes","Yes"
"toilta","0.180","0.133","0.026","0.148","0.034","0.079",6,"Yes","Yes"
"armsa","0.144","0.061",,"0.196","0.118","0.159",5,"","Yes"
"chaira","0.347","0.310",,"0.427","0.233","0.340",5,"","Yes"
"climsa","0.515","0.520",,"0.434","0.348","0.499",5,"","Yes"
"dsight","0.723","0.244","0.512","0.415","0.416",,5,"","Yes"
"hearte","0.160","0.127","0.017","0.301","0.201",,5,"","Yes"
"housewka","0.155","0.562","0.060","0.271","0.153",,5,"","Yes"
"lifta","0.195","0.453",,"0.303","0.266","0.294",5,"","Yes"
"lunge","0.141","0.122","0.007","0.118","0.090",,5,"","Yes"
"nsight","0.719","0.125","0.508","0.456","0.483",,5,"","Yes"
"psyche","0.016","0.150","0.009","0.185","0.100",,5,"","Yes"
"slfmem","0.794","0.034",,"0.519","0.528","0.654",5,"","Yes"
"stoopa","0.384","0.128",,"0.515","0.367","0.473",5,"","Yes"
"urina","0.070","0.066","0.021","0.283","0.079",,5,"","Yes"
"dimea","0.067",,,"0.095","0.055","0.093",4,"",""
"joga","0.659","0.531",,"0.683",,"0.644",4,"",""
"livere","0.040","0.006","0.003",,"0.080",,4,"",""
"walk100a","0.028","0.257",,"0.535","0.152",,4,"",""
"walk1kma","0.244","0.477",,"0.371","0.032",,4,"",""
"asthmae","0.055","0.011",,,"0.387",,3,"",""
"dyslipe","0.105","0.044",,,"0.303",,3,"",""
"kidneye","0.066","0.009",,"0.121",,,3,"",""
"digeste","0.220","0.055",,,,,2,"",""
"activity_health",,,"0.488",,,,1,"",""
"concentration",,,"0.193",,,,1,"",""
"depressed_yr",,,,"0.133",,,1,"",""
"dizzy",,,,"0.143",,,1,"",""
"ever_depression",,,,"0.211",,,1,"",""
"fatigue",,,,"0.205",,,1,"",""
"gloom_2wk",,,"0.069",,,,1,"",""
"grooming",,,"0.031",,,,1,"",""
"hearing_activity",,,"0.055",,,,1,"",""
"laundry",,,"0.086",,,,1,"",""
"near_out",,,"0.066",,,,1,"",""
"other_disease",,,"0.079",,,,1,"",""
"phone",,,"0.039",,,,1,"",""
"restless_sleep",,,"0.208",,,,1,"",""
"transport_out",,,"0.074",,,,1,"",""
"vision_activity",,,"0.053",,,,1,"",""
"wash_groom",,,"0.029",,,,1,"",""
"weight_change",,,"0.194",,,,1,"",""
